Tên sản phẩm,Giá gốc,Giá bán,Kích thước màn hình,RAM,Bộ nhớ,Chipset,Pin,Kích thước,Bluetooth,Camera trước,Wi-Fi,Hệ điều hành,Độ phân giải màn hình,Tần số quét,Trọng lượng,Quay video,GPU,Cổng sạc,url,image_url,web
LG V40 ThinQ Hàn (Nobox - Likenew 99%),,2.990.000₫,6.4,6GB,128GB,Snapdragon 845 8 nhân,3300mAh,Dài 158.8 mm - Ngang 75.7 mm - Dày 7.6 mm,"apt-X, EDR, LE, A2DP, v5.0",8MP 5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,169 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Adreno 630,USB Type-C,,,Worldphone
LG V35 ThinQ Nhật iSai Likenew 99% (V30+),,2.990.000₫,6.0,4GB,128GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3300mAh,Dài 151.7 mm - Ngày 75.4 mm - Dày 7.4 mm,"v5.0, apt-X, A2DP, LE",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,158 g,Quay phim 4K 2160p@30fps,Adreno 540,USB Type-C,,,Worldphone
LG V35 ThinQ Quốc Tế Mỹ Cũ,,4.490.000₫,6,6GB,64GB,Snapdragon 845 8 nhân,3300mAh,Dài 151.7 mm - Ngang 75.4 mm - Dày 7.3 mm,"LE, A2DP, apt-X, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,157 g,"Quay phim HD 720p@120fps, Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
LG V35 ThinQ Hàn Cũ,,4.490.000₫,6,6GB,64GB,Snapdragon 845 8 nhân,3300mAh,Dài 151.7 mm - Ngang 75.4 mm - Dày 7.3 mm,"LE, A2DP, apt-X, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,157 g,"Quay phim HD 720p@120fps, Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
LG V30 Plus (Nobox - Likenew 99%),,1.990.000₫,6.0,4GB,128GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3300mAh,Dài 151.7 mm - Ngày 75.4 mm - Dày 7.4 mm,"v5.0, apt-X, A2DP, LE",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,158 g,Quay phim 4K 2160p@30fps,Adreno 540,USB Type-C,,,Worldphone
LG V30 Hàn Likenew 99%,,2.990.000₫,6.0,4GB,64GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3300mAh,Dài 151.7 mm - Ngày 75.4 mm - Dày 7.4 mm,"v5.0, apt-X, A2DP, LE",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,158 g,Quay phim 4K 2160p@30fps,Adreno 540,USB Type-C,,,Worldphone
LG G7 ThinQ Hàn Cũ,,2.590.000₫,6.1,4GB,64GB,Snapdragon 845 8 nhân,3000mAh,Dài 153.2 mm - Ngang 71.9 mm - Dày 8.2 mm,"A2DP, LE, apt-X, v5.0",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,Đang cập nhật,"Quay phim FullHD 1080p@30fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
LG G7 ThinQ Quốc Tế Mỹ Cũ,,2.990.000₫,6.1,4GB,64GB,Snapdragon 845 8 nhân,3000mAh,Dài 153.2 mm - Ngang 71.9 mm - Dày 8.2 mm,"A2DP, LE, apt-X, v5.0",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,Đang cập nhật,"Quay phim FullHD 1080p@30fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
LG G6 Quốc Tế Mỹ Cũ,,1.990.000₫,5.7,4GB,32GB,Qualcomm Snapdragon 821 4 nhân 64-bit,3300mAh,148.9 x 71.9 x 7.9 mm,"apt-X, LE, A2DP, v4.2",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.0 (Nougat),,,163 g,Quay phim 4K 2160p@30fps,Adreno 530,USB Type-C,,,Worldphone
LG G6 Hàn Likenew 99%,,2.190.000₫,5.7,4GB,64GB,Qualcomm Snapdragon 821 4 nhân 64-bit,3300mAh,148.9 x 71.9 x 7.9 mm,"apt-X, LE, A2DP, v4.2",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.0 (Nougat),,,163 g,Quay phim 4K 2160p@30fps,Adreno 530,USB Type-C,,,Worldphone
