Tên sản phẩm,Giá gốc,Giá bán,Kích thước màn hình,RAM,Bộ nhớ,Chipset,Pin,Kích thước,Bluetooth,Camera trước,Wi-Fi,Hệ điều hành,Độ phân giải màn hình,Tần số quét,Trọng lượng,Quay video,GPU,Cổng sạc,url,image_url,web
Google Pixel 3 XL 64GB Cũ,,3.390.000₫,6.3,4GB,64GB,Snapdragon 845 8 nhân,3430mAh,Dài 158 mm - Ngang 76.7 mm - 7.9 mm,"apt-X, EDR, LE, A2DP, v5.0",8MP 8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 9.0 (Pie),,,184 g,"Quay phim FullHD 1080p@30fps, Quay phim HD 720p@240fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
Google Pixel 3 XL 128GB Cũ,,3.790.000₫,6.3,4GB,64GB,Snapdragon 845 8 nhân,3430mAh,Dài 158 mm - Ngang 76.7 mm - 7.9 mm,"apt-X, EDR, LE, A2DP, v5.0",8MP 8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 9.0 (Pie),,,184 g,"Quay phim FullHD 1080p@30fps, Quay phim HD 720p@240fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
Google Pixel 3 (Nobox - Likenew 99%),,2.790.000₫,5.5,4GB,64GB,Snapdragon 845 8 nhân,2915mAh,Dài 145.6 mm - Ngang 68.2 mm - Dày 7.9 mm,"apt-X, LE, A2DP, v5.0",8MP 8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 9.0 (Pie),,,148 g,"Quay phim FullHD 1080p@30fps, Quay phim HD 720p@240fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
Google Pixel 2 XL (New 100% - Fullbox),,5.490.000₫,6.0,4GB,128GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3520mAh,157.9 x 76.7 x 7.9 mm,"LE, EDR, A2DP, apt-X, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,175 g,Quay phim 4K 2160p@24fps,Adreno 540,USB Type-C,,,Worldphone
Google Pixel 2 XL (Nobox - Likenew 99%),,3.790.000₫,6.0,4GB,64GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3520mAh,157.9 x 76.7 x 7.9 mm,"LE, EDR, A2DP, apt-X, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,175 g,Quay phim 4K 2160p@24fps,Adreno 540,USB Type-C,,,Worldphone
Google Pixel 2 (Nobox - Likenew 99%),,2.490.000₫,5,4GB,64GB,Qualcomm Snapdragon 835 8 nhân 64-bit,2700mAh,145.7 x 69.7 x 7.8 mm,"v5.0, apt-X, A2DP, LE",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,143 g,Quay phim 4K 2160p@30fps,Adreno 540,USB Type-C,,,Worldphone
Google Pixel XL (Nobox - Likenew 99%),,2.590.000₫,5.5,4GB,32GB,Qualcomm Snapdragon 821 4 nhân 64-bit,3450mAh,154.7 x 75.7 x 8.6 mm,"A2DP, LE, v4.2",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,168 g,Quay phim 4K 2160p@30fps,Adreno 530,USB Type-C,,,Worldphone
Google Pixel (Nobox - Likenew 99%),,2.290.000₫,5,4GB,32GB,Qualcomm Snapdragon 821 4 nhân 64-bit,2770mAh,143.8 x 69.5 x 8.6 mm,"v4.2, apt-X, A2DP, LE",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,143 g,Quay phim 4K 2160p@30fps,Adreno 530,USB Type-C,,,Worldphone
Motorola Moto M 2 sim (Fullbox - Mới 100%),,4.990.000₫,5.5,4GB,32GB,Helio P15 8 nhân 64-bit,3050mAh,Dài 151.4 mm - Ngang 75.4 mm - Dày 7.9 mm,"A2DP, LE, V4.1",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,163g,Quay phim FullHD 1080p@30fps,Mali-T860,USB Type-C,,,Worldphone
Motorola Google Nexus 6 (Nobox - Likenew 99%),,3.190.000₫,6.0,,64GB,Qualcomm Snapdragon 805,3220mAh,Dài 159.3 mm - Ngang 83 mm - Dày 10.1 mm,,2MP,,Android 5.0 (Lollipop),,,184g,Quay phim 4K 2160p@30fps,Adreno 420,Micro USB,,,Worldphone
Sony Xperia XZ2 2 SIM (New 100% - Fullbox),,15.990.000₫,5.7,4GB,64GB,Snapdragon 845 8 nhân,3180mAh,Dài 153 mm - Ngang 72 mm - Dày 11.1 mm,"apt-X, A2DP, LE, v5.0",5MP,"Wi-Fi 802.11 a/b/g/n/ac, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,198g,"Quay phim FullHD 1080p@30fps, Quay phim siêu chậm 960 fps, Quay phim FullHD 1080p@60fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
Sony Xperia XZ2 Nhật Likenew 99%,,2.390.000₫,5.7,4GB,64GB,Snapdragon 845 8 nhân,3180mAh,Dài 153 mm - Ngang 72 mm - Dày 11.1 mm,"apt-X, A2DP, LE, v5.0",5MP,"Wi-Fi 802.11 a/b/g/n/ac, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,198g,"Quay phim FullHD 1080p@30fps, Quay phim siêu chậm 960 fps, Quay phim FullHD 1080p@60fps, Quay phim 4K 2160p@30fps",Adreno 630,USB Type-C,,,Worldphone
Sony Xperia XZ3 Likenew 99%,,3.290.000₫,6.0,4GB,64GB,Snapdragon 845 8 nhân,3300mAh,"Dài 158 mm - Ngang 73 mm - Dày 9,9 mm","apt-X, LE, v5.0",13MP,"Wi-Fi 802.11 a/b/g/n/ac, DLNA, Wi-Fi Direct, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz)",Android 9 (Pie),,,193g,"Siêu chậm 960 fps, 4K 2160p@30fps, FullHD 1080p@30fps, FullHD 1080p@60fps",Adreno 630,USB Type-C,,,Worldphone
Sony Xperia XZ2 Premium Cũ,,3.390.000₫,,6GB,64GB,Snapdragon 845 8 nhân,3540mAh,Dài 158 mm - Ngang 80 mm - Dày 11.9 mm,EDRLEv5.0,13MP,"DLNA, Wi-Fi hotspot, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",Android 8 (Oreo),,,,4K 2160p@30fps,Adreno 630,Type-C,,,Worldphone
"Sony Xperia XZ Premium likenew 99,9%",,3.490.000₫,5.5,4GB,64GB,Snapdragon 835 8 nhân,3230mAh,Dài 156 mm - Rộng 77 mm - Ngang 7.9 mm,"EDR, A2DP, LE, apt-X, v5.0",13MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,191g,Quay phim 4K 2160p@30fps,Adreno 540,USB Type-C,,,Worldphone
Sony Xperia Z5 (New 100% - Nobox),,3.990.000₫,5.2,3GB,32GB,Snapdragon 810 8 nhân 64-bit,2900mAh,Dài 146 mm - Rộng 72 mm - Dày 7.3 mm,"A2DP, V4.1",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,156.5 g,Quay phim 4K 2160p@30fps,Adreno 430,Micro USB,,,Worldphone
Sony Xperia 5 Cũ,,5.190.000₫,6.1,6GB,64GB,Snapdragon 855 8 nhân,3140mAh,,"apt-X, A2DP, LE",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), DLNA, Wi-Fi Direct, Wi-Fi hotspot",,,,,"FullHD 1080p@30fps, FullHD 1080p@60fps, 4K 2160p@24fps, 4K 2160p@30fps",Adreno 640,Type-C,,,Worldphone
BlackBerry KEYone 2 Sim Likenew-FullBox,,3.990.000₫,4.5,4GB,64GB,Snapdragon 625 8 nhân 64-bit,3505mAh,Dài 149.3 mm - Ngang 72.5 mm - Dày 9.4 mm,"A2DP, LE, v4.2",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,180 g,Quay phim 4K 2160p@30fps,Adreno 506,USB Type-C,,,Worldphone
BlackBerry KEY2 2 SIM Chính hãng (Fullbox - Mới 100%),,9.990.000₫,4.5,6GB,64GB,Qualcomm Snapdragon 660 8 nhân,3500mAh,Dài 151.4 mm - Ngang 71.8 mm - Dày 8.5 mm,"LE, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,168 g,Quay phim 4K 2160p@30fps,Adreno 512,USB Type-C,,,Worldphone
BlackBerry KEY2 2 Sim Red 128GB,,9.790.000₫,4.5,6GB,64GB,Qualcomm Snapdragon 660 8 nhân,3500mAh,Dài 151.4 mm - Ngang 71.8 mm - Dày 8.5 mm,"LE, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,168 g,Quay phim 4K 2160p@30fps,Adreno 512,USB Type-C,,,Worldphone
BlackBerry Evolve 2 SIM Chính hãng (Fullbox - Mới 100%),,7.990.000₫,5.99,4GB,64GB,Qualcomm Snapdragon 450 8 nhân 64-bit,4000mAh,Dài 158.9 mm - Ngang 76.1 mm - Dày 8.4 mm,"LE, A2DP, v4.2",16MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,170g,"Quay phim FullHD 1080p@30fps, Quay phim 2K 1920@40fps",Adreno 506,USB Type-C,,,Worldphone
iPhone Xs Max 2 SIM (Likenew),,29.390.000₫,6.5,4GB,64GB,Apple A12 Bionic 6 nhân,3174mAh,Dài 157.5 mm - Ngang 77.4 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,208 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs Max Quốc Tế 2 SIM (Mới 100% - Nguyên Seal),,29.390.000₫,6.5,4GB,64GB,Apple A12 Bionic 6 nhân,3174mAh,Dài 157.5 mm - Ngang 77.4 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,208 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
BlackBerry KEY2 2 SIM 64GB Quốc Tế (Nobox - Likenew 99%),,8.790.000₫,4.5,6GB,128GB,Qualcomm Snapdragon 660 8 nhân,3500mAh,Dài 151.4 mm - Ngang 71.8 mm - Dày 8.5 mm,"LE, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,168 g,Quay phim 4K 2160p@30fps,Adreno 512,USB Type-C,,,Worldphone
BlackBerry KEY2 2 SIM 128GB (Nobox - Likenew 99%),,7.590.000₫,4.5,6GB,128GB,Qualcomm Snapdragon 660 8 nhân,3500mAh,Dài 151.4 mm - Ngang 71.8 mm - Dày 8.5 mm,"LE, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,168 g,Quay phim 4K 2160p@30fps,Adreno 512,USB Type-C,,,Worldphone
BlackBerry KEY2 LE 2 SIM (Nguyên Seal - Mới 100%),,9.490.000₫,4.5,4GB,64GB,Qualcomm Snapdragon 636 8 nhân 64-bit,3000mAh,Dài 150.3 mm - Ngang 71.8 mm - Dày 8.4 mm,"EDR, A2DP, LE, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,156g,Quay phim FullHD 1080p@30fps,Adreno 509,USB Type-C,,,Worldphone
BlackBerry KEY2 2 SIM Cũ,,6.990.000₫,4.5,6GB,64GB,Qualcomm Snapdragon 660 8 nhân,3500mAh,Dài 151.4 mm - Ngang 71.8 mm - Dày 8.5 mm,"LE, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,168 g,Quay phim 4K 2160p@30fps,Adreno 512,USB Type-C,,,Worldphone
BlackBerry KEY2 2 SIM Chính hãng (Nguyên Seal - Mới 100%),,9.990.000₫,4.5,6GB,64GB,Qualcomm Snapdragon 660 8 nhân,3500mAh,Dài 151.4 mm - Ngang 71.8 mm - Dày 8.5 mm,"LE, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot",Android 8.1 (Oreo),,,168 g,Quay phim 4K 2160p@30fps,Adreno 512,USB Type-C,,,Worldphone
BlackBerry KEYone 2 SIM (Nobox - Likenew 99%),,4.390.000₫,4.5,4GB,64GB,Snapdragon 625 8 nhân 64-bit,3505mAh,Dài 149.3 mm - Ngang 72.5 mm - Dày 9.4 mm,"A2DP, LE, v4.2",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,180 g,Quay phim 4K 2160p@30fps,Adreno 506,USB Type-C,,,Worldphone
BlackBerry KEYone 2 Sim BrandNew FullBox,,5.090.000₫,4.5,4GB,64GB,Snapdragon 625 8 nhân 64-bit,3505mAh,Dài 149.3 mm - Ngang 72.5 mm - Dày 9.4 mm,"A2DP, LE, v4.2",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,180 g,Quay phim 4K 2160p@30fps,Adreno 506,USB Type-C,,,Worldphone
iPhone 12 64GB (Likenew),,12.990.000₫,6.1,4GB,64GB,Apple A14 Bionic 6 nhân,2815mAh,,A2DPv5.0,12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Wi-Fi MIMO",iOS 14,,,,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 12 Pro (Likenew),,19.490.000₫,6.1,6GB,128GB,Apple A14 Bionic 6 nhân,2815mAh,,A2DPv5.0,12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 15,,,,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 12 256GB (Likenew),,21.990.000₫,6.1,4GB,64GB,Apple A14 Bionic 6 nhân,2815mAh,,A2DPv5.0,12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Wi-Fi MIMO",iOS 14,,,,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 12 128GB (Likenew),,19.190.000₫,6.1,4GB,64GB,Apple A14 Bionic 6 nhân,2815mAh,,A2DPv5.0,12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Wi-Fi MIMO",iOS 14,,,,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs Max 512GB (Likenew),,16.490.000₫,6.5,4GB,512GB,Apple A12 Bionic 6 nhân,3174mAh,Dài 157.5 mm - Ngang 77.4 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,208 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs Max 256GB (Likenew),,10.990.000₫,6.5,4GB,256GB,Apple A12 Bionic 6 nhân,3174mAh,Dài 157.5 mm - Ngang 77.4 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,208 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs Max 64GB (Likenew),,8.990.000₫,6.5,4GB,64GB,Apple A12 Bionic 6 nhân,3174mAh,Dài 157.5 mm - Ngang 77.4 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,208 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs 512GB (Likenew),,13.590.000₫,5.8,4GB,64GB,Apple A12 Bionic 6 nhân,2658mAh,Dài 143.6 mm - Ngang 70.9 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,177g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs 256GB (Likenew),,11.490.000₫,5.8,4GB,64GB,Apple A12 Bionic 6 nhân,2658mAh,Dài 143.6 mm - Ngang 70.9 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,177g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs 64GB (Likenew),,10.890.000₫,5.8,4GB,64GB,Apple A12 Bionic 6 nhân,2658mAh,Dài 143.6 mm - Ngang 70.9 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,177g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs Max Quốc Tế 1 SIM (Mới 100% - Nguyên Seal),,29.690.000₫,6.5,4GB,64GB,Apple A12 Bionic 6 nhân,3174mAh,Dài 157.5 mm - Ngang 77.4 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,208 g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xs Quốc Tế (Mới 100% - Nguyên Seal),,25.990.000₫,5.8,4GB,64GB,Apple A12 Bionic 6 nhân,2658mAh,Dài 143.6 mm - Ngang 70.9 mm - Dày 7.7 mm,"LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,177g,"Quay phim FullHD 1080p@30fps, Quay phim FullHD 1080p@60fps, Quay phim FullHD 1080p@120fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@24fps, Quay phim 4K 2160p@30fps, Quay phim 4K 2160p@60fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 256GB (97%),,14.490.000₫,6.1,4GB,64GB,Apple A13 Bionic 6 nhân,3110mAh,,"A2DP, LE",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 (97%),,8.990.000₫,6.1,4GB,64GB,Apple A13 Bionic 6 nhân,3110mAh,,"A2DP, LE",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 256GB (Likenew),,14.490.000₫,6.1,4GB,64GB,Apple A13 Bionic 6 nhân,3110mAh,,"A2DP, LE",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 (Likenew),,9.490.000₫,6.1,4GB,64GB,Apple A13 Bionic 6 nhân,3110mAh,,"A2DP, LE",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 Pro Max 512GB (Likenew),,16.890.000₫,6.5,4GB,64GB,Apple A13 Bionic 6 nhân,3046mAh,,"LE, v5.0",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,Nặng 226 g,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 Pro Max 256GB (Likenew),,16.990.000₫,6.5,4GB,64GB,Apple A13 Bionic 6 nhân,3046mAh,,"LE, v5.0",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,Nặng 226 g,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 Pro Max (Likenew),,16.890.000₫,6.5,4GB,64GB,Apple A13 Bionic 6 nhân,3046mAh,,"LE, v5.0",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,Nặng 226 g,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 Pro 256GB (Likenew),,13.690.000₫,5.8,4GB,256GB,Apple A13 Bionic 6 nhân,3046mAh,,"A2DP, LE",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,Nặng 188 g,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 11 Pro 64GB (Likenew),,10.990.000₫,5.8,4GB,64GB,Apple A13 Bionic 6 nhân,3046mAh,,"A2DP, LE",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,Nặng 188 g,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
